Source,Target,Type,Weight,path_type,path_text,year_established,year_obsolete,Timestamp
2,4,Directed,1,blue,,2006,2023,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
2,5,Directed,1,blue,Shared set of guidelines,2012,2023,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
2,18,Directed,1,blue,,2019,2023,"[2019, 2020, 2021, 2022]"
25,26,Directed,1,green,,2021,2023,"[2021, 2022]"
25,29,Directed,1,green,,2021,2023,"[2021, 2022]"
25,28,Directed,1,green,,2021,2023,"[2021, 2022]"
25,27,Directed,1,green,,2021,2023,"[2021, 2022]"
25,16,Directed,1,green,,2021,2023,"[2021, 2022]"
25,24,Directed,1,green,,2021,2023,"[2021, 2022]"
25,17,Directed,1,green,,2021,2023,"[2021, 2022]"
14,31,Directed,1,red,,2017,2023,"[2017, 2018, 2019, 2020, 2021, 2022]"
14,32,Directed,1,red,,2017,2023,"[2017, 2018, 2019, 2020, 2021, 2022]"
14,1,Directed,1,red,,2017,2023,"[2017, 2018, 2019, 2020, 2021, 2022]"
14,13,Directed,1,red,,2017,2023,"[2017, 2018, 2019, 2020, 2021, 2022]"
4,14,Directed,1,red,,2017,2023,"[2017, 2018, 2019, 2020, 2021, 2022]"
31,16,Directed,1,red,,2019,2023,"[2019, 2020, 2021, 2022]"
31,22,Directed,1,red,,2020,2023,"[2020, 2021, 2022]"
22,1,Directed,1,red,,2020,2023,"[2020, 2021, 2022]"
22,32,Directed,1,red,,2020,2023,"[2020, 2021, 2022]"
22,13,Directed,1,red,,2020,2023,"[2020, 2021, 2022]"
22,4,Directed,1,red,,2020,2023,"[2020, 2021, 2022]"
14,4,Directed,1,red,,2017,2023,"[2017, 2018, 2019, 2020, 2021, 2022]"
22,3,Directed,1,dotted red,,2020,2023,"[2020, 2021, 2022]"
4,30,Directed,1,green,,2022,2023,[2022]
13,16,Directed,1,red,,2019,2023,"[2019, 2020, 2021, 2022]"
16,32,Directed,1,red,,2019,2023,"[2019, 2020, 2021, 2022]"
1,16,Directed,1,red,,2019,2023,"[2019, 2020, 2021, 2022]"
16,24,Directed,1,green,Significant overlap in signatories,2020,2023,"[2020, 2021, 2022]"
24,4,Directed,1,green,,2020,2023,"[2020, 2021, 2022]"
17,4,Directed,1,green,,2019,2023,"[2019, 2020, 2021, 2022]"
17,9,Directed,1,yellow,NZAOA is on the steering committee,2019,2023,"[2019, 2020, 2021, 2022]"
25,23,Directed,1,blue,Private Finance arm of Race to Zero,2021,2023,"[2021, 2022]"
18,20,Directed,1,green,,2019,2023,"[2019, 2020, 2021, 2022]"
18,26,Directed,1,blue,Majority signatories of PRB are members,2021,2023,"[2021, 2022]"
20,26,Directed,1,green,,2021,2023,"[2021, 2022]"
5,27,Directed,1,dotted green,,2021,2023,"[2021, 2022]"
35,11,Directed,1,milestone,,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
35,12,Directed,1,milestone/yellow,,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
35,9,Directed,1,milestone/blue,,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
35,10,Directed,1,milestone/green,,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
33,34,Directed,1,milestone/green,,2018,2023,"[2018, 2019, 2020, 2021, 2022]"
35,36,Directed,1,milestone/green,,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
35,37,Directed,1,milestone/green,Non-State entities' equivalent of Paris Agreement,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
1,38,Directed,1,red,,1993,2023,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
39,40,Directed,1,milestone,,2010,2023,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
21,23,Directed,1,blue,,2020,2023,"[2020, 2021, 2022]"
6,7,Directed,1,green,,2014,2023,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]"
